Incident energy;
Incident energy;
Incident energy;σ(E)
66.04753;4361.502
66.06485;4259.008
66.08453;4056.599
66.10421;3776.94
66.13513;3228.084
66.16605;2618.077
66.19698;2022.553
66.21244;1748.694
66.2279;1497.202
66.24337;1270.716
66.25883;1070.784
66.27429;897.2009
66.28975;748.8844
66.30451;629.1772
66.31927;528.8137
66.33403;445.5652
66.34141;409.6436
66.34879;377.1468
66.35617;347.8005
66.36355;321.34
66.37093;297.5124
66.37831;276.0779
66.39307;239.5007
66.40782;210.0
66.42258;186.1496
66.43734;166.8147
66.4521;151.0484
66.46686;138.0886
66.48162;127.3312
66.49638;118.3025
66.51114;110.6353
66.52589;104.0505
66.5526;94.19994
66.57931;86.29735
66.60602;79.77921
66.63272;74.28748
66.65943;69.57965
66.68614;65.49317
66.71285;61.90939
66.73955;58.74106
66.79297;53.38764
66.84638;49.04429
66.89979;45.45432
66.9532;42.44186
67.01786;39.39082
67.08252;36.84567
67.14718;34.6945
67.21184;32.85645
67.2765;31.27213
67.34116;29.89664
67.40582;28.69166
67.47047;27.62035
67.5042;27.10331
67.58351;25.98049
67.66282;24.97908
67.74213;24.09574
67.82143;23.31735
67.90749;22.56912
67.99355;21.90265
68.07961;21.30488
68.16566;20.76542
68.33777;19.82641
68.50988;19.03667
68.682;18.36502
68.85411;17.78705
69.02622;17.28428
69.19833;16.84274
69.34176;16.51374
69.48519;16.21484
69.77204;15.69178
70.0589;15.2486
70.34575;14.8699
70.63261;14.5382
70.91946;14.24541
71.20631;13.98512
71.49316;13.75175
71.83739;13.50161
72.00951;13.3892
72.05254;13.36451
72.09557;13.34387
72.11709;13.33598
72.1386;13.33033
72.16011;13.32738
72.18162;13.32758
72.21031;13.33325
72.23899;13.34515
72.29636;13.38272
72.31548;13.39642
72.35014;13.41708
72.3848;13.42608
72.40751;13.4227
72.42234;13.41593
72.44171;13.40148
72.4701;13.36945
